latitude,longitude,blk_no,road_name,postal_code,address,cbd_dist,min_dist_mrt
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,174 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,541 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,163 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,446 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,557 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,603 ANG MO KIO AVE 5,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,709 ANG MO KIO AVE 8,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,333 ANG MO KIO AVE 1,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,109 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,564 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,218 ANG MO KIO AVE 1,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,556 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,156 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,471 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,434 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,560 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,332 ANG MO KIO AVE 1,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,421 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,506 ANG MO KIO AVE 8,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,631 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,153 ANG MO KIO AVE 5,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,442 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,558 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,212 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,152 ANG MO KIO AVE 5,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,331 ANG MO KIO AVE 1,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,121 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,130 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,646 ANG MO KIO AVE 6,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,424 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,584 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,412 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,612 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,562 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,223 ANG MO KIO AVE 1,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,150 ANG MO KIO AVE 5,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,468 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,177 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,415 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,254 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,207 ANG MO KIO AVE 1,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,432 ANG MO KIO AVE 10,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,117 ANG MO KIO AVE 4,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,428 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,573 ANG MO KIO AVE 3,2728.5312193194177,0.0
1.30743547948389,103.854713903431,640,ROWELL ROAD,200640,418 ANG MO KIO AVE 10,2728.5312193194177,0.0
